embedding_id,umap_x,umap_y,umap_z
embedding_00270,14.480413437,5.317279816,3.599838734
embedding_00271,6.509667873,3.539032936,-7.230198383
embedding_00272,11.735246658,6.858240604,5.345230579
embedding_00273,11.863684654,0.948217988,9.184815407
embedding_00274,12.075766563,-0.160062581,-3.129770279
embedding_00275,8.716259003,6.585349560,-5.042124271
embedding_00276,12.651287079,2.810487509,3.539911747
embedding_00277,13.982083321,4.501363754,0.835609674
embedding_00278,9.889137268,7.363601208,-2.880452394
embedding_00279,9.420049667,-4.963544369,2.853336811
embedding_00280,8.165563583,6.898946762,2.318790197
embedding_00281,15.560081482,-2.272856236,-0.798629820
embedding_00282,11.289361954,0.375805765,4.590189934
embedding_00283,11.773833275,-0.137189314,3.100668669
embedding_00284,9.413154602,1.265084147,5.815383911
embedding_00285,11.803695679,6.237289906,2.229317188
embedding_00286,14.181197166,1.151186109,0.288031578
embedding_00287,13.726924896,2.324055195,6.575723648
embedding_00288,13.833908081,5.275342464,1.773266315
embedding_00289,13.810644150,6.014307499,-4.264877319
embedding_00290,12.024488449,-0.236752659,2.272259951
embedding_00291,9.394781113,1.674012065,1.988365650
embedding_00292,5.342842579,2.468683004,-3.992312670
embedding_00293,5.509322643,4.325901508,-3.105534077
embedding_00294,7.304812908,0.437078744,5.616305351
embedding_00295,10.865779877,2.924230576,7.339526176
embedding_00296,10.422391891,5.727313042,-3.358547449
embedding_00297,14.801876068,2.812783957,-0.083130077
embedding_00298,10.823959351,5.791074753,1.420966148
embedding_00299,10.277245522,13.563723564,5.958281517
embedding_00300,10.801924706,0.561564982,-3.019248724
embedding_00301,11.036923409,-0.439651132,-3.653449059
embedding_00302,6.231555939,5.872039795,2.292909861
embedding_00303,10.611632347,5.539690018,4.118589401
embedding_00304,8.244945526,4.446610451,-0.085141420
embedding_00305,4.473553181,6.931643009,-0.589460015
embedding_00306,12.284225464,7.803655148,-1.307855248
embedding_00307,11.175436020,5.208465099,-1.433785319
embedding_00308,12.511003494,6.023301125,-3.517004967
embedding_00309,13.513568878,5.812147617,-5.078514099
embedding_00310,5.744228840,2.449035883,-4.934250355
embedding_00311,11.698580742,-0.092043579,4.195572376
embedding_00312,12.220780373,8.317687035,3.163168669
embedding_00313,14.479936600,6.239311218,-4.329999447
embedding_00314,13.807701111,3.279262781,-0.179993555
embedding_00315,10.745946884,1.885048389,-2.447842598
embedding_00316,6.224079609,1.377186894,-4.495021343
embedding_00317,4.024601936,5.529753208,-2.480626822
embedding_00318,6.059601307,1.412445068,-4.251319885
embedding_00319,4.345219135,5.102030277,-2.599803209
embedding_00320,9.748789787,5.031044483,-1.795805335
embedding_00321,11.683425903,5.381221771,-4.047410488
embedding_00322,13.222158432,4.679790497,-4.400229454
embedding_00323,11.133253098,5.386647224,-3.678152561
embedding_00324,9.547383308,0.934069276,-3.157739639
embedding_00325,10.067331314,8.482781410,3.171994925
embedding_00326,9.710913658,2.250546932,5.781716824
embedding_00327,11.431061745,4.391831398,0.310215682
embedding_00328,12.529187202,-0.651839018,-1.999910474
embedding_00329,11.704248428,7.164685726,-0.653962851
