audit_id,concept,primary_locus,life_death_module,comparison_register,relationship_type,condition,query_count,mean_s_c,mean_s_r,mean_cas,median_cas
solidarity_social_cohesion,solidarity,Freedom Truth and Moral Teleology,false,social cohesion,valid_but_partial,bare,1,0.47717025672927926,0.562701863060774,-0.0855316063314947,-0.0855316063314947
solidarity_social_cohesion,solidarity,Freedom Truth and Moral Teleology,false,social cohesion,valid_but_partial,natural_general,3,0.48446264479613443,0.7399905635099424,-0.25552791871380803,-0.26284790496512606
solidarity_social_cohesion,solidarity,Freedom Truth and Moral Teleology,false,social cohesion,valid_but_partial,natural_ambiguous,3,0.50527046307271,0.5104306748359363,-0.005160211763226452,-0.05924956994524383
solidarity_social_cohesion,solidarity,Freedom Truth and Moral Teleology,false,social cohesion,valid_but_partial,label_free_theological,3,0.7842870012291204,0.548403516918529,0.2358834843105915,0.2430054411051934
solidarity_social_cohesion,solidarity,Freedom Truth and Moral Teleology,false,social cohesion,valid_but_partial,explicit_catholic,3,0.8770289902548208,0.4333425044889205,0.44368648576590025,0.45759992443268355
solidarity_social_cohesion,solidarity,Freedom Truth and Moral Teleology,false,social cohesion,valid_but_partial,integrative,3,0.6754704074268733,0.6676666120196177,0.007803795407255398,-0.014511043010632108
subsidiarity_decentralization,subsidiarity,Freedom Truth and Moral Teleology,false,administrative decentralisation,valid_but_partial,bare,1,0.6066237872681589,0.6144553371537573,-0.007831549885598421,-0.007831549885598421
subsidiarity_decentralization,subsidiarity,Freedom Truth and Moral Teleology,false,administrative decentralisation,valid_but_partial,natural_general,3,0.5757516793706199,0.7748852981404147,-0.19913361876979477,-0.21214659182692575
subsidiarity_decentralization,subsidiarity,Freedom Truth and Moral Teleology,false,administrative decentralisation,valid_but_partial,natural_ambiguous,3,0.5288787965625011,0.49816494116080934,0.030713855401691765,-0.00851073647254419
subsidiarity_decentralization,subsidiarity,Freedom Truth and Moral Teleology,false,administrative decentralisation,valid_but_partial,label_free_theological,3,0.8304681560772047,0.5638118034271626,0.266656352650042,0.2685942941226328
subsidiarity_decentralization,subsidiarity,Freedom Truth and Moral Teleology,false,administrative decentralisation,valid_but_partial,explicit_catholic,3,0.9043930388131806,0.5015222584686375,0.4028707803445431,0.41014378647857874
subsidiarity_decentralization,subsidiarity,Freedom Truth and Moral Teleology,false,administrative decentralisation,valid_but_partial,integrative,3,0.7089010651069056,0.697507920406415,0.011393144700490613,-0.007583577479888248
common_good_aggregate_welfare,common good,Freedom Truth and Moral Teleology,false,aggregate social welfare,valid_but_partial,bare,1,0.5643480787447009,0.5285186783274919,0.035829400417209056,0.035829400417209056
common_good_aggregate_welfare,common good,Freedom Truth and Moral Teleology,false,aggregate social welfare,valid_but_partial,natural_general,3,0.5425009701911518,0.740832821598372,-0.19833185140722018,-0.19913435621367315
common_good_aggregate_welfare,common good,Freedom Truth and Moral Teleology,false,aggregate social welfare,valid_but_partial,natural_ambiguous,3,0.5340072659577505,0.5193520811595147,0.014655184798235854,-0.01683316986939326
common_good_aggregate_welfare,common good,Freedom Truth and Moral Teleology,false,aggregate social welfare,valid_but_partial,label_free_theological,3,0.789052321765225,0.5257186894240337,0.26333363234119134,0.25494647213763666
common_good_aggregate_welfare,common good,Freedom Truth and Moral Teleology,false,aggregate social welfare,valid_but_partial,explicit_catholic,3,0.8948754961222378,0.49583962715590335,0.3990358689663345,0.40680968769946874
common_good_aggregate_welfare,common good,Freedom Truth and Moral Teleology,false,aggregate social welfare,valid_but_partial,integrative,3,0.6961270304280341,0.6820195364296405,0.014107493998393764,-0.003824623702119778
law_positive_law,law,Freedom Truth and Moral Teleology,false,positive law,complementary_levels,bare,1,0.3317626156257411,0.4009393833989228,-0.06917676777318171,-0.06917676777318171
law_positive_law,law,Freedom Truth and Moral Teleology,false,positive law,complementary_levels,natural_general,3,0.38829025862953953,0.7320674241997372,-0.3437771655701977,-0.3414546976242662
law_positive_law,law,Freedom Truth and Moral Teleology,false,positive law,complementary_levels,natural_ambiguous,3,0.40374451880387174,0.3822174475759906,0.021527071227881205,-0.02714261897952913
law_positive_law,law,Freedom Truth and Moral Teleology,false,positive law,complementary_levels,label_free_theological,3,0.7729788628603752,0.4827478488740374,0.29023101398633777,0.27038562240244246
law_positive_law,law,Freedom Truth and Moral Teleology,false,positive law,complementary_levels,explicit_catholic,3,0.8812436496960734,0.41889291884433605,0.46235073085173733,0.48373014284713395
law_positive_law,law,Freedom Truth and Moral Teleology,false,positive law,complementary_levels,integrative,3,0.6636044358580403,0.5985986194358636,0.06500581642217673,0.06359264480734683
natural_law_natural_science,natural law,Freedom Truth and Moral Teleology,false,scientific laws of nature,alternative_lexical_senses,bare,1,0.5203742489563307,0.5181077454046683,0.0022665035516623577,0.0022665035516623577
natural_law_natural_science,natural law,Freedom Truth and Moral Teleology,false,scientific laws of nature,alternative_lexical_senses,natural_general,3,0.526770686560423,0.7809048046147472,-0.2541341180543241,-0.2603005807512545
natural_law_natural_science,natural law,Freedom Truth and Moral Teleology,false,scientific laws of nature,alternative_lexical_senses,natural_ambiguous,3,0.4953807039482267,0.47438908535168006,0.020991618596546635,0.01015442417138801
natural_law_natural_science,natural law,Freedom Truth and Moral Teleology,false,scientific laws of nature,alternative_lexical_senses,label_free_theological,3,0.7772590451803327,0.5252167155519517,0.2520423296283811,0.2557872064458738
natural_law_natural_science,natural law,Freedom Truth and Moral Teleology,false,scientific laws of nature,alternative_lexical_senses,explicit_catholic,3,0.879796479021397,0.49234957128750967,0.38744690773388735,0.3835036509520935
natural_law_natural_science,natural law,Freedom Truth and Moral Teleology,false,scientific laws of nature,alternative_lexical_senses,integrative,3,0.6841283303377258,0.6929195399981399,-0.008791209660414098,-0.014678009965324978
moral_agency_decision_capacity,moral agency,Freedom Truth and Moral Teleology,false,decision-making capacity,complementary_levels,bare,1,0.6790663704043943,0.60765394322444,0.07141242717995433,0.07141242717995433
moral_agency_decision_capacity,moral agency,Freedom Truth and Moral Teleology,false,decision-making capacity,complementary_levels,natural_general,3,0.6363494324966056,0.7995642199853576,-0.16321478748875204,-0.1642508323892955
moral_agency_decision_capacity,moral agency,Freedom Truth and Moral Teleology,false,decision-making capacity,complementary_levels,natural_ambiguous,3,0.5458703784243809,0.5338403619004827,0.012030016523898143,0.005971431524580018
moral_agency_decision_capacity,moral agency,Freedom Truth and Moral Teleology,false,decision-making capacity,complementary_levels,label_free_theological,3,0.8114145014216473,0.6111659078644406,0.20024859355720667,0.1934657719631624
moral_agency_decision_capacity,moral agency,Freedom Truth and Moral Teleology,false,decision-making capacity,complementary_levels,explicit_catholic,3,0.9156504912677644,0.5708194675933149,0.3448310236744494,0.34660388747758875
moral_agency_decision_capacity,moral agency,Freedom Truth and Moral Teleology,false,decision-making capacity,complementary_levels,integrative,3,0.7676237810315917,0.7222899957514531,0.045333785280138504,0.042451697409419786
license_legal_permission,license,Freedom Truth and Moral Teleology,false,legal permission,alternative_lexical_senses,bare,1,0.2297085225246501,0.405139308662079,-0.17543078613742888,-0.17543078613742888
license_legal_permission,license,Freedom Truth and Moral Teleology,false,legal permission,alternative_lexical_senses,natural_general,3,0.3949891540199304,0.7483509346612999,-0.3533617806413695,-0.34411935111342223
license_legal_permission,license,Freedom Truth and Moral Teleology,false,legal permission,alternative_lexical_senses,natural_ambiguous,3,0.4190086772825416,0.4458188532076979,-0.02681017592515626,-0.05618146966595139
